Fisier generat in 2017/12/27 10:55
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
0;500;28;2;90;221519
0;500;24;7;242;214447
0;500;26;40;654;200718
0;500;30;8;226;215313
0;500;18;1;60;223267
0;500;22;44;523;205063
