Fisier generat in 2017/12/27 10:20
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
0;1000;28;4;54;225210
0;1000;24;61;1161;193750
0;1000;26;17;755;199488
0;1000;22;3;71;222371
0;1000;18;44;637;201631
0;1000;20;3;38;228093
0;1000;30;23;1014;194281
