Fisier generat in 2017/12/26 11:21
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
0;1000;30;1;0;238671
0;1000;34;2;10;233808
0;1000;32;1;9;238324
