Fisier generat in 2017/12/26 17:24
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
0;1000;30;8;126;219171
0;1000;28;25;503;202148
0;1000;24;66;775;194404
0;1000;26;10;1003;194246
