Fisier generat in 2017/12/26 15:37
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
2;1000;26;7;223;226864
4;1000;30;1;3;238215
1;1000;1;14;770;226107
3;1000;28;2;63;230871
