Fisier generat in 2017/12/26 14:32
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
0;1000;26;5;165;216499
0;1000;34;4;139;217554
0;1000;24;2;86;222251
0;1000;32;6;714;200338
0;1000;28;46;733;199700
0;1000;30;4;207;215371
0;1000;36;44;1032;194511
