stc_38472234;49.427018;11.133213;4.85
stc_8426121;49.165343;16.602358;9.3
stc_69111;48.726324;2.316025;2.78
stc_00001;47.275631;11.45093;0.57
stc_00009;48.210159;14.25433;0.3
stc_00015;47.463879;9.72148;6.4
stc_00023;47.032871;15.41684;0.7
stc_00024;47.011951;15.43411;6.84
stc_00028;48.257166;16.468598;7.66
stc_00030;48.171101;16.324101;0.95
stc_34919655;47.822956;16.212679;0.65
stc_00036;48.171101;16.324101;0.3
stc_00040;47.2714;16.23877;2.29
stc_00043;47.823349;16.21133;7.34
stc_5216545;47.872605;11.962741;0.7
stc_6874165;48.15997;11.84727;1.2
stc_00058;48.821212;9.100923;1.84
stc_00065;52.309946;10.484119;6.7
stc_00071;50.135953;8.561659;2.43
stc_00073;48.028938;7.854455;6.36
stc_00075;48.304255;11.632563;0.3
stc_00077;49.020345;8.457759;6.09
stc_00082;50.140592;8.748437;1.4
stc_00083;50.132194;8.752719;3.4
stc_0551598;49.841492;10.961468;6.61
stc_00090;48.716314;10.159386;3.13
stc_00092;48.741426;11.473435;1.66
stc_00095;48.587259;12.211283;5.4
stc_00102;49.399049;11.048964;6.06
stc_00105;49.399049;11.048964;2.3
stc_00106;48.573664;13.408086;5.61
stc_00109;48.318874;10.889124;6.15
stc_00112;49.009452;12.136566;1.44
stc_00114;50.021138;10.223866;0.3
stc_00117;48.800101;9.832198;1.27
stc_00118;48.800456;9.830167;1.47
stc_00121;48.06891;8.56809;1.57
stc_00200;48.304255;11.632563;2.94
stc_00124;49.76832;9.942555;3
stc_00016;47.681972;17.655534;2.54
stc_00202;48.171101;16.324101;9.2
stc_7019012193;48.803673;8.206732;7.44
stc_675434;50.046242;8.217768;0.3
stc_5816916;47.7556;10.32473;0.3
stc_35123;48.171075;16.32433;0.65
stc_4561549;47.40134;15.24229;4.44
stc_649822;49.57273;17.22485;3.99
stc_1326515;49.517217;8.55586;1.4
stc_651684;47.45444;18.94888;7.71
stc_41746541;47.48515;19.22584;3.57
stc_2132135;48.31872;18.05271;0.6
stc_1656511;52.39316;13.50876;6.92
stc_14612106;46.50016;15.65801;6.66
stc_5116565;46.88887;19.68469;4.73
stc_584954;48.833831;9.547629;5.2
stc_16516;48.32015;10.889363;3.6
stc_4651655;48.637065;8.913615;3.54
stc_020602;50.915247;7.880436;5.2
stc_12165165;48.994855;8.37328;5.2
stc_165161;49.430242;11.102102;6.5
stc_812665;49.754679;9.970399;6.5
stc_498165165;49.003585;12.177035;5.2
stc_7166166;49.145355;9.1974;5.2
stc_97154515;48.863714;10.341872;4.25
stc_5846211;48.86398;10.340635;15
stc_84821252;49.427017;11.133217;6.5
stc_936;45.16654716;1.521606445;0.75
stc_820;43.69369383;1.412258148;2.16
stc_827;43.10674818;0.783805847;0.93
stc_810;43.52365926;1.394577026;6.7
stc_929;44.13491344;4.073181152;0.1
stc_931;44.13097086;4.073181152;3.38
stc_746;42.71069601;2.861938477;6.11
stc_934;44.21075694;0.615234375;5.23
stc_736;43.83848911;5.77331543;4.58
stc_937;44.4573098;1.428222656;1.4
stc_734;43.29619891;5.561828613;6.93
stc_735;43.3051938;5.559082031;0.54
stc_835;43.91372327;2.145080566;1.44
stc_837;43.62414715;2.224731445;2.39
stc_945;44.50336184;0.163421631;1.39
stc_838;44.94536144;2.422485352;2.66
stc_919;44.02047156;1.348571777;0.77
stc_741;43.83848911;4.345092773;7.12
stc_719;43.95525929;4.790039063;7.12
stc_733;43.4559096;5.008392334;1.82
stc_748;43.33117156;-0.427093506;4.13
stc_1571;43.23557365;0.003261566;5.43
stc_712;43.23920036;0.063171387;1.95
stc_948;43.48481213;-1.560058594;8.28
stc_933;43.89789239;-0.510864258;1.79
stc_949;43.48780126;-0.791015625;3.91
stc_950;44.64227698;-0.985336304;3.7
stc_740;44.84710661;-0.655059814;9.91
stc_956;44.8548953;0.482025146;2.64
stc_960;43.70957891;-1.053314209;1.55
stc_917;43.65197549;0.5809021;5.64
stc_752;44.83736928;-0.582618713;2.98
stc_971;43.21185401;2.358477116;1.34
stc_834;44.37098696;2.543334961;3.66
stc_755;43.58238047;3.889160156;3.87
stc_868;43.61619382;3.890533447;0.97
stc_840;43.46886761;6.690673828;2.15
stc_844;44.42201131;0.67565918;1.1
