Setari{prioritate=5 memorie=7 nrDescarcari=15 ajungeAcasa=false nrIndivizi=2000}
Fisier generat in 2017/12/27 13:41
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
398;2000;18;5;187417
399;2000;18;5;187318
400;2000;18;5;187270
401;2000;18;5;187234
402;2000;18;5;187186
403;2000;18;5;187153
404;2000;18;5;187094
405;2000;18;5;187016
406;2000;18;5;186928
410;2000;18;5;186921
411;2000;18;5;186849
415;2000;18;5;186800
416;2000;18;5;186715
418;2000;18;5;186499
425;2000;18;5;186422
426;2000;18;5;186372
431;2000;18;5;186371
432;2000;18;5;186343
433;2000;18;5;186188
439;2000;18;5;186063
443;2000;18;5;186060
445;2000;18;5;185979
446;2000;18;5;185961
448;2000;18;5;185870
449;2000;18;5;185834
455;2000;18;5;185817
456;2000;18;5;185782
458;2000;28;7;185768
457;2000;18;5;185647
465;2000;18;5;185608
467;2000;28;7;185601
466;2000;18;5;185590
469;2000;28;7;185566
468;2000;18;5;185422
470;2000;18;5;185359
472;2000;18;5;185278
475;2000;18;5;185255
477;2000;28;7;185237
479;2000;18;5;185210
482;2000;28;7;185167
484;2000;28;7;185036
485;2000;28;7;184924
489;2000;28;7;184855
490;2000;28;7;184780
495;2000;28;7;184739
496;2000;28;7;184667
497;2000;28;7;184629
