Fisier generat in 2017/12/26 13:10;;;;;;
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie;
0;333;24;73;498;210869;3,973669937
0;666;24;9;482;206987;2,059563138
0;1000;24;2;492;206755;1,945170356
0;2000;24;9;495;202810;0
