Fisier generat in 2017/12/26 14:54
Probabilitate Mutatie;Nr Indivizi;Viata;Nr Solutii Gasite;Generatia;Best Solutie
4;1000;30;1;0;237950
2;1000;26;5;173;228029
1;1000;1;7;205;225668
5;1000;32;1;47;232052
